Address,Total Zoo
0x657216b83a990e26063b6e12e5463e494140668b,"1,454,692,018.00"
0xe5a1be0eeb2685ccdcddb4daca7b23e58fe235f6,"27,943,461"
0xeab8fdb47cbec5ca3c7a7becfbd6c5d804e66be2,"2,377,302,203"
0xeb902bd0e729e260ae051bfbadbeb0367b3ce6fc,"712,641,002"
0xf32ab3b638ce11c1b95b327ee87df19cf194c539,"445,121,463"
0xf43f8fc528923a117cef9bda87e2de77b25296b4,"182,162,260"
0xf7e437311cadf33a93a20cd253406bfc43935bba,"12,020,600"
0xfcb6a9f3ffe734971d5bbd74b32115e14bc4be3c,"2,117,662,585"
0xff158f6620a744112eef1de37a18c1f81c863132,"13,722,767"
0x9df76513f1b155dc6049c286347e1f3fd4b1b0bb,"500,500,000"
0x2f2198daa2bce403590d5d8b60a65e21fa688460,"500,000,000"
0x57aa7366523d509c98cd626de1d4fd4c60fe1b23,"500,000,000"
0x2e93cb2c1dd55938987b3763b9920be0ae2ef90f,"348,098,597"
,
0x8ede8fdcf2c765207ffd489e46099f1db1d4ae7d,"155,815,370"
0x1f1ab545bf48bf60aa74e5d686835fc9ff18d4b8,"154,509,821"
0xdaaf3fa7484e5ba09519ffa868cf82fa80fa26ba,"156,693,543"
0x392370df60b2f4c9fbfa9948f5bff92aa888bc86,"168,422,385"
0x1308f0532f7d88cde99a943c53134e649d85ff1c,"190,163,972"
0xa5722b6148a7e103358b53a667a884cd1d49def6,"50,000,000"
0xb07d0b9bcd996ad12097026e00ce6e58d23b8fef,"9,000,000"
0x6387ad5851c3656d35a84d7af63caa4a982cb34a,"10,000,000"
0x588d3a81e9a04da39f7df725fcf912cf99262b8d,"9,000,000"
0xbbd2bf05a4a58d70534d4876cd4aeae0683ebde3,"10,000,000"
0x761dce3cc1a104cc3b46fa27f5b07084dd8221e7,"1,000,000"
0x515eb0a6fb02544ce7f98b0835b5640ce23aaba1,"209,519,592"
0xd063ccd39fd9aaa759b77e5ea1e212b4288c7efe,"212,323,294"
,
,
,
,
,
,
,
,
0xe138767b7666b74e46a14a42295714b2c8b1ae2d,"344,890,747"
0xa20ed39feb6dc57f57b680c8e8d383c25cb8af0a,"345,233,423"
0x299bff9ab4ecd12c974ba95f0d20b3ef236919eb,"402,684,715"
0x475867ae2f31f64f0be63cb0c85d3bf676cee006,"12,742,936"
0x669840a545d081788c488f536994a8e7dcdfe9cc,
0x39cda68eb292b0e97be7732cb881dc6835475de6,"100,000,000"
0xfa48df11f096c66c60175c0dc73f51962ced8e74,"1,899,876,776"
0x8994fe7b25a976c6c98d012f84b3b1b9411c5132,"7,992,550,015"
,
,
